Datetime,Open,High,Low,Close,Adj Close,Volume,EMA,EMASignal,VSignal,PriceSignal,TotSignal
2022-02-02 01:00:00,38586.1171875,38656.8359375,38440.734375,38454.6328125,38454.6328125,73949184,,3,1,0,0
2022-02-02 02:00:00,38466.63671875,38654.20703125,38459.72265625,38654.08203125,38654.08203125,63574016,,3,1,0,0
2022-02-02 03:00:00,38651.5234375,38735.68359375,38580.19921875,38580.19921875,38580.19921875,0,,3,0,0,0
2022-02-02 04:00:00,38581.22265625,38581.22265625,38468.0859375,38520.27734375,38520.27734375,38037504,,3,1,0,0
2022-02-02 05:00:00,38511.6953125,38517.46484375,38382.28515625,38416.59375,38416.59375,96874496,,3,1,0,0
2022-02-02 06:00:00,38418.12890625,38512.27734375,38271.43359375,38277.1875,38277.1875,0,,3,1,0,0
2022-02-02 07:00:00,38319.8203125,38397.8671875,38272.0859375,38315.08984375,38315.08984375,76851200,,3,1,0,0
2022-02-02 08:00:00,38311.578125,38450.3984375,38296.296875,38450.3984375,38450.3984375,133658624,,3,1,0,0
2022-02-02 09:00:00,38454.859375,38540.15234375,38434.1796875,38535.53515625,38535.53515625,0,,3,1,0,0
2022-02-02 10:00:00,38533.57421875,38586.3359375,38456.71484375,38581.75390625,38581.75390625,0,,3,1,0,0
2022-02-02 11:00:00,38582.7734375,38582.7734375,38487.48828125,38531.48046875,38531.48046875,0,,3,1,0,0
2022-02-02 12:00:00,38532.484375,38711.97265625,38523.3046875,38710.4375,38710.4375,115038208,,3,1,0,0
2022-02-02 13:00:00,38707.453125,38742.76953125,38416.984375,38433.25390625,38433.25390625,0,,3,1,0,0
2022-02-02 14:00:00,38423.08203125,38437.68359375,37737.12890625,37748.21875,37748.21875,294651904,,3,1,0,0
2022-02-02 15:00:00,37743.55078125,37792.82421875,37481.5546875,37481.5546875,37481.5546875,446107648,,3,1,0,0
2022-02-02 16:00:00,37477.19921875,37477.19921875,37201.0546875,37341.3046875,37341.3046875,0,,3,1,0,0
2022-02-02 17:00:00,37337.9609375,37498.55859375,37327.30859375,37430.9765625,37430.9765625,0,,3,1,0,0
2022-02-02 18:00:00,37439.46875,37512.89453125,37434.12890625,37480.7734375,37480.7734375,0,,3,1,0,0
2022-02-02 19:00:00,37488.56640625,37655.3671875,37468.0859375,37606.46875,37606.46875,0,,3,1,0,0
2022-02-02 20:00:00,37607.12890625,37656.01953125,37459.078125,37593.85546875,37593.85546875,46270464,,3,1,0,0
2022-02-02 21:00:00,37594.140625,37595.9453125,36832.73046875,36910.6875,36910.6875,576120832,,3,1,0,0
2022-02-02 22:00:00,36902.10546875,37180.7734375,36898.3203125,37065.92578125,37065.92578125,580622336,,3,1,0,0
2022-02-02 23:00:00,37073.0,37144.1953125,36918.17578125,36941.92578125,36941.92578125,230998016,,3,1,0,0
2022-02-03 00:00:00,36944.8046875,37035.21875,36894.25390625,36990.30859375,36990.30859375,215775232,,3,0,0,0
2022-02-03 01:00:00,36986.62890625,37016.49609375,36907.1640625,36922.7734375,36922.7734375,0,,3,0,0,0
2022-02-03 02:00:00,36927.37109375,36996.81640625,36843.76953125,36977.453125,36977.453125,202614784,,3,1,0,0
2022-02-03 03:00:00,36978.96875,36998.46484375,36862.578125,36870.7578125,36870.7578125,0,,3,1,0,0
2022-02-03 04:00:00,36868.26171875,36981.44921875,36861.20703125,36960.52734375,36960.52734375,6395904,,3,1,0,0
2022-02-03 05:00:00,36958.16015625,37064.92578125,36898.9375,37040.88671875,37040.88671875,113252352,,3,1,0,0
2022-02-03 06:00:00,37035.1875,37035.1875,36912.890625,36977.21484375,36977.21484375,0,,3,1,0,0
2022-02-03 07:00:00,36977.8671875,37084.640625,36969.87890625,37065.90625,37065.90625,1388156928,,3,1,0,0
2022-02-03 08:00:00,37066.54296875,37115.99609375,37051.3828125,37088.54296875,37088.54296875,0,,3,1,0,0
2022-02-03 09:00:00,37090.98046875,37101.671875,36881.20703125,36881.20703125,36881.20703125,15953920,,3,1,0,0
2022-02-03 10:00:00,36862.77734375,36862.77734375,36375.5390625,36449.54296875,36449.54296875,691929088,,3,1,0,0
2022-02-03 11:00:00,36446.87109375,36742.5234375,36381.83203125,36742.5234375,36742.5234375,684476416,,3,1,0,0
2022-02-03 12:00:00,36745.796875,36776.4921875,36444.671875,36678.7421875,36678.7421875,429955072,,3,0,0,0
2022-02-03 13:00:00,36685.4375,36750.12890625,36538.15234375,36550.12890625,36550.12890625,0,,3,0,0,0
2022-02-03 14:00:00,36564.296875,36713.08203125,36564.296875,36579.015625,36579.015625,0,,3,1,0,0
2022-02-03 15:00:00,36574.98828125,36931.296875,36550.96484375,36931.296875,36931.296875,0,,3,1,0,0
2022-02-03 16:00:00,36923.40234375,37030.75,36785.4921875,36785.4921875,36785.4921875,0,,3,1,0,0
2022-02-03 17:00:00,36788.17578125,36865.328125,36637.48046875,36811.0625,36811.0625,0,,3,1,0,0
2022-02-03 18:00:00,36819.84765625,36834.0625,36749.171875,36795.33984375,36795.33984375,0,,3,1,0,0
2022-02-03 19:00:00,36795.69921875,36824.2265625,36527.61328125,36595.515625,36595.515625,0,,3,1,0,0
2022-02-03 20:00:00,36589.84765625,36638.0078125,36388.13671875,36430.93359375,36430.93359375,0,,3,1,0,0
2022-02-03 21:00:00,36431.23828125,36992.05859375,36425.27734375,36992.05859375,36992.05859375,0,,3,1,0,0
2022-02-03 22:00:00,36976.859375,36996.49609375,36844.66015625,36857.46875,36857.46875,0,,3,1,0,0
2022-02-03 23:00:00,36881.95703125,37071.63671875,36881.95703125,37071.63671875,37071.63671875,0,,3,1,0,0
2022-02-04 00:00:00,37149.265625,37260.140625,37149.265625,37182.375,37182.375,93272064,,3,1,0,0
2022-02-04 01:00:00,37185.41015625,37190.15625,37093.62890625,37180.73828125,37180.73828125,566988800,,3,1,0,0
2022-02-04 02:00:00,37180.23828125,37387.09765625,37174.4765625,37364.15234375,37364.15234375,204756992,,3,1,0,0
2022-02-04 03:00:00,37354.3515625,37394.40625,37330.375,37352.39453125,37352.39453125,44050432,,3,0,0,0
2022-02-04 04:00:00,37352.984375,37356.6953125,37272.41796875,37340.69140625,37340.69140625,45920256,,3,1,0,0
2022-02-04 05:00:00,37338.734375,37623.62890625,37315.82421875,37580.55078125,37580.55078125,600184832,,3,1,0,0
2022-02-04 06:00:00,37577.50390625,37994.28515625,37567.046875,37980.015625,37980.015625,738598912,,3,1,0,0
2022-02-04 07:00:00,37980.55078125,38063.1328125,37885.46875,37896.09765625,37896.09765625,407838720,,3,1,0,0
2022-02-04 08:00:00,37897.453125,38030.16796875,37897.06640625,37948.26953125,37948.26953125,452308992,,3,1,0,0
2022-02-04 09:00:00,37949.5078125,38088.0625,37941.64453125,38072.3984375,38072.3984375,209944576,,3,1,0,0
2022-02-04 10:00:00,38065.98046875,38139.66015625,37885.96875,37898.58203125,37898.58203125,0,,3,0,0,0
2022-02-04 11:00:00,37899.8515625,37957.5078125,37858.9375,37863.0703125,37863.0703125,0,,3,1,0,0
2022-02-04 12:00:00,37860.51953125,38012.14453125,37847.82421875,37966.9375,37966.9375,0,,3,1,0,0
2022-02-04 13:00:00,37965.7109375,38082.59765625,37478.67578125,37478.67578125,37478.67578125,381898752,,3,1,0,0
2022-02-04 14:00:00,37480.76953125,37925.49609375,37398.3515625,37925.49609375,37925.49609375,733374464,,3,1,0,0
2022-02-04 15:00:00,37923.49609375,39624.484375,37923.49609375,39483.7421875,39483.7421875,4199303168,,3,1,0,0
2022-02-04 16:00:00,39487.34765625,40429.5078125,39487.34765625,40388.10546875,40388.10546875,0,,3,1,0,0
2022-02-04 17:00:00,40386.48046875,40463.0625,40226.46484375,40463.0625,40463.0625,900087808,,3,1,0,0
2022-02-04 18:00:00,40468.71875,40537.20703125,40328.17578125,40428.4296875,40428.4296875,388270080,,3,1,0,0
2022-02-04 19:00:00,40430.6171875,40693.73046875,40399.1875,40683.50390625,40683.50390625,532434944,,3,1,0,0
2022-02-04 20:00:00,40685.23828125,40809.3671875,40505.3046875,40539.15625,40539.15625,396222464,,3,1,0,0
2022-02-04 21:00:00,40542.0625,40575.61328125,40467.7890625,40552.5703125,40552.5703125,0,,3,0,0,0
2022-02-04 22:00:00,40579.4609375,40627.6171875,40438.38671875,40627.2109375,40627.2109375,226234368,,3,1,0,0
2022-02-04 23:00:00,40626.42578125,41527.78515625,40593.94140625,41508.84375,41508.84375,1322549248,,3,1,0,0
2022-02-05 00:00:00,41501.48046875,41729.42578125,41420.0078125,41523.69140625,41523.69140625,1158369280,,3,1,0,0
2022-02-05 01:00:00,41526.41015625,41526.41015625,41249.0546875,41305.3125,41305.3125,275740672,,3,0,0,0
2022-02-05 02:00:00,41305.40234375,41437.5,41257.52734375,41388.140625,41388.140625,21166080,,3,0,0,0
2022-02-05 03:00:00,41392.91015625,41449.8203125,41384.30078125,41439.65625,41439.65625,72640512,,3,1,0,0
2022-02-05 04:00:00,41446.18359375,41633.07421875,41416.0859375,41459.6484375,41459.6484375,355125248,,3,1,0,0
2022-02-05 05:00:00,41466.375,41632.8671875,41439.13671875,41547.82421875,41547.82421875,0,,3,1,0,0
2022-02-05 06:00:00,41550.765625,41652.66796875,41520.7265625,41530.0234375,41530.0234375,0,,3,1,0,0
2022-02-05 07:00:00,41526.57421875,41526.57421875,41401.39453125,41401.39453125,41401.39453125,0,,3,1,0,0
2022-02-05 08:00:00,41401.55078125,41534.72265625,41377.8671875,41450.54296875,41450.54296875,0,,3,1,0,0
2022-02-05 09:00:00,41454.859375,41513.77734375,41327.78515625,41443.67578125,41443.67578125,6414336,,3,1,0,0
2022-02-05 10:00:00,41456.13671875,41591.953125,41456.13671875,41552.4609375,41552.4609375,0,,3,1,0,0
2022-02-05 11:00:00,41558.5703125,41587.21484375,41437.0703125,41442.6875,41442.6875,0,,3,1,0,0
2022-02-05 12:00:00,41446.90234375,41496.234375,41402.859375,41442.19140625,41442.19140625,60715008,,3,1,0,0
2022-02-05 13:00:00,41430.890625,41527.1796875,41401.9375,41508.55078125,41508.55078125,0,,3,1,0,0
2022-02-05 14:00:00,41511.63671875,41661.4140625,41436.02734375,41609.04296875,41609.04296875,0,,3,1,0,0
2022-02-05 15:00:00,41574.140625,41847.1640625,41411.546875,41739.31640625,41739.31640625,0,,3,1,0,0
2022-02-05 16:00:00,41742.3203125,41802.125,41344.29296875,41344.29296875,41344.29296875,0,,3,1,0,0
2022-02-05 17:00:00,41338.109375,41576.82421875,41038.09765625,41560.97265625,41560.97265625,157507584,,3,1,0,0
2022-02-05 18:00:00,41556.32421875,41684.13671875,41538.58203125,41638.7421875,41638.7421875,0,,3,1,0,0
2022-02-05 19:00:00,41639.203125,41655.66796875,41550.32421875,41550.32421875,41550.32421875,0,,3,1,0,0
2022-02-05 20:00:00,41557.63671875,41603.1640625,41425.97265625,41603.1640625,41603.1640625,0,,3,1,0,0
2022-02-05 21:00:00,41604.83203125,41715.046875,41578.93359375,41675.04296875,41675.04296875,0,,3,1,0,0
2022-02-05 22:00:00,41680.0625,41727.03515625,41586.79296875,41591.7734375,41591.7734375,0,,3,1,0,0
2022-02-05 23:00:00,41591.85546875,41643.62109375,41421.4765625,41438.15625,41438.15625,0,,3,1,0,0
2022-02-06 00:00:00,41441.12109375,41515.30859375,41398.08203125,41514.94140625,41514.94140625,0,,3,1,0,0
2022-02-06 01:00:00,41510.890625,41623.89453125,41509.73046875,41618.62109375,41618.62109375,0,,3,1,0,0
2022-02-06 02:00:00,41615.49609375,41621.80859375,41498.92578125,41502.203125,41502.203125,0,,3,1,0,0
2022-02-06 03:00:00,41507.609375,41566.16015625,41483.1171875,41483.1171875,41483.1171875,0,,3,1,0,0
2022-02-06 04:00:00,41478.29296875,41529.07421875,41348.26953125,41524.69140625,41524.69140625,0,,3,1,0,0
2022-02-06 05:00:00,41529.89453125,41580.50390625,41508.88671875,41566.18359375,41566.18359375,0,,3,1,0,0
2022-02-06 06:00:00,41568.18359375,41575.96875,41438.55078125,41439.16796875,41439.16796875,0,,3,1,0,0
2022-02-06 07:00:00,41454.37890625,41667.59765625,41442.640625,41639.65234375,41639.65234375,0,,3,1,0,0
2022-02-06 08:00:00,41640.703125,41640.703125,41518.8125,41622.1875,41622.1875,0,,3,1,0,0
2022-02-06 09:00:00,41624.03125,41659.63671875,41604.48828125,41614.61328125,41614.61328125,0,,3,1,0,0
2022-02-06 10:00:00,41619.30078125,41679.50390625,41568.95703125,41580.05859375,41580.05859375,0,,3,1,0,0
2022-02-06 11:00:00,41580.65625,41598.8046875,41488.15234375,41521.13671875,41521.13671875,0,,3,1,0,0
2022-02-06 12:00:00,41523.14453125,41617.765625,41521.62890625,41558.1015625,41558.1015625,0,,3,1,0,0
2022-02-06 13:00:00,41555.1796875,41737.48828125,41555.1796875,41698.4765625,41698.4765625,244619264,,3,1,0,0
2022-02-06 14:00:00,41691.390625,41983.12109375,41269.70703125,41277.8984375,41277.8984375,780646400,,3,1,0,0
2022-02-06 15:00:00,41281.875,41515.65625,41244.90625,41513.44921875,41513.44921875,0,,3,1,0,0
2022-02-06 16:00:00,41505.6640625,41658.65625,41459.76171875,41643.9453125,41643.9453125,0,,3,1,0,0
2022-02-06 17:00:00,41646.453125,41694.32421875,41617.9921875,41654.1484375,41654.1484375,0,,3,1,0,0
2022-02-06 18:00:00,41654.3515625,41664.67578125,41499.26953125,41501.52734375,41501.52734375,0,,3,1,0,0
2022-02-06 19:00:00,41504.8828125,41707.20703125,41504.8828125,41707.20703125,41707.20703125,18229248,,3,1,0,0
2022-02-06 20:00:00,41707.28125,41736.8046875,41546.3203125,41594.6796875,41594.6796875,0,,3,1,0,0
2022-02-06 21:00:00,41603.17578125,41701.26953125,41568.25,41680.0234375,41680.0234375,0,,3,1,0,0
2022-02-06 22:00:00,41678.640625,41699.59765625,41611.90234375,41611.90234375,41611.90234375,0,,3,1,0,0
2022-02-06 23:00:00,41609.74609375,42493.84375,41599.9140625,42398.328125,42398.328125,1624065024,,3,1,0,0
2022-02-07 00:00:00,42406.78125,42428.73046875,41748.15625,41866.7890625,41866.7890625,754786304,,3,1,0,0
