Datetime,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2023-12-01 00:00:00,2051.95,2053.21,2045.04,2049.8,7939.5643,2023-12-01 00:59:59.999000072,16265303.13941,17004,3902.2153,7994247.236394,0
2023-12-01 02:00:00,2088.52,2093.76,2082.97,2086.15,19228.6972,2023-12-01 02:59:59.999000072,40142741.257145,29641,9837.5593,20538504.15728,0
2023-12-01 03:00:00,2086.14,2093.0,2083.46,2092.2,13407.0607,2023-12-01 03:59:59.999000072,28010232.776491,22952,6772.3255,14147631.242303,0
2023-12-01 04:00:00,2092.2,2100.51,2089.82,2094.89,23739.1809,2023-12-01 04:59:59.999000072,49747009.927075,31145,14716.407,30840376.707228,0
2023-12-01 05:00:00,2094.89,2096.99,2090.24,2091.3,9565.0225,2023-12-01 05:59:59.999000072,20021078.094817,16666,3674.174,7690389.891246,0
2023-12-01 06:00:00,2091.31,2093.56,2087.2,2092.52,10333.1868,2023-12-01 06:59:59.999000072,21606453.143982,17684,4920.7092,10288434.246753,0
2023-12-01 07:00:00,2092.51,2107.26,2089.6,2092.75,28159.3112,2023-12-01 07:59:59.999000072,59097679.959962,36318,14287.8558,29983894.498817,0
2023-12-01 08:00:00,2092.74,2099.09,2091.47,2094.09,9495.284,2023-12-01 08:59:59.999000072,19895139.086868,17791,5117.7752,10722712.298185,0
2023-12-01 09:00:00,2094.1,2110.87,2094.02,2104.59,32714.7471,2023-12-01 09:59:59.999000072,68745045.600481,39718,18303.0437,38471775.39992,0
2023-12-01 10:00:00,2104.59,2105.66,2089.27,2089.8,18079.3172,2023-12-01 10:59:59.999000072,37914086.429979,26463,8125.2675,17044688.331696,0
2023-12-01 11:00:00,2089.79,2095.8,2086.99,2093.01,11208.8592,2023-12-01 11:59:59.999000072,23443641.620045,20028,5868.9018,12277076.110383,0
2023-12-01 12:00:00,2093.02,2094.79,2084.14,2087.36,11136.8666,2023-12-01 12:59:59.999000072,23271031.875594,20258,5140.8179,10743001.046338,0
2023-12-01 13:00:00,2087.35,2091.06,2077.58,2080.74,12114.2718,2023-12-01 13:59:59.999000072,25249377.008067,22437,5405.786,11269130.611274,0
2023-12-01 14:00:00,2080.74,2083.15,2074.6,2078.5,15016.2416,2023-12-01 14:59:59.999000072,31216387.077421,25203,7042.768,14639802.897592,0
2023-12-01 15:00:00,2078.49,2082.88,2071.0,2080.16,11637.8882,2023-12-01 15:59:59.999000072,24187551.118929,21362,5854.4198,12167146.518489,0
2023-12-01 16:00:00,2080.16,2110.0,2078.2,2104.96,32049.7704,2023-12-01 16:59:59.999000072,67207670.758074,46023,17400.6291,36493641.894475,0
2023-12-01 17:00:00,2104.96,2108.04,2088.6,2094.48,17777.7808,2023-12-01 17:59:59.999000072,37273348.694057,28749,8055.1449,16889033.488671,0
2023-12-01 18:00:00,2094.49,2098.76,2088.0,2090.64,11353.5616,2023-12-01 18:59:59.999000072,23760814.947841,21739,5576.7641,11670369.547789,0
2023-12-01 19:00:00,2090.64,2091.99,2081.0,2090.2,10808.8507,2023-12-01 19:59:59.999000072,22560432.671311,19705,4866.558,10156738.845821,0
2023-12-01 20:00:00,2090.2,2095.95,2088.15,2090.74,6681.7973,2023-12-01 20:59:59.999000072,13973910.920928,15598,3263.2627,6824764.31835,0
2023-12-01 21:00:00,2090.74,2095.79,2088.79,2090.65,5867.4022,2023-12-01 21:59:59.999000072,12275886.341922,14375,2450.5808,5127366.264325,0
2023-12-01 22:00:00,2090.65,2092.44,2082.44,2085.51,4504.2158,2023-12-01 22:59:59.999000072,9405863.455204,12786,2429.3768,5073280.234627,0
2023-12-01 23:00:00,2085.5,2087.4,2083.23,2087.24,3793.503,2023-12-01 23:59:59.999000072,7909530.486998,11288,2186.1829,4558116.488465,0
2023-12-02 00:00:00,2087.24,2093.0,2086.25,2092.12,4671.3567,2023-12-02 00:59:59.999000072,9759287.606706,12914,2643.7026,5523781.083193,0
2023-12-02 01:00:00,2092.12,2096.07,2090.88,2094.6,4991.6816,2023-12-02 01:59:59.999000072,10449994.66698,12858,2894.8696,6060086.017823,0
