Datetime,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2023-12-01 17:00:00,38801.92,38891.84,38703.18,38799.01,2209.39397,2023-12-01 17:59:59.999000072,85700454.7825028,90296,1049.57283,40713876.5569733,0
2023-12-01 18:00:00,38799.02,38920.0,38699.0,38703.69,1941.11299,2023-12-01 18:59:59.999000072,75308491.5094948,73652,985.39073,38235686.3674682,0
2023-12-01 19:00:00,38703.69,38784.0,38625.61,38762.4,1178.1381,2023-12-01 19:59:59.999000072,45592516.0110322,58764,566.09545,21907285.4577104,0
2023-12-01 20:00:00,38762.4,38861.74,38711.1,38749.62,1051.31774,2023-12-01 20:59:59.999000072,40765556.4738669,51415,591.86809,22949546.6944796,0
2023-12-01 21:00:00,38749.62,38900.0,38749.61,38776.05,998.61759,2023-12-01 21:59:59.999000072,38776783.9250689,45108,531.56815,20641951.9301365,0
2023-12-01 22:00:00,38776.05,38847.86,38692.03,38703.86,861.78849,2023-12-01 22:59:59.999000072,33406478.8709069,36263,428.27573,16599188.1181506,0
2023-12-01 23:00:00,38703.85,38737.23,38645.0,38682.52,705.37245,2023-12-01 23:59:59.999000072,27289872.0188097,32712,323.91496,12532339.960745,0
2023-12-02 00:00:00,38682.51,38732.0,38641.61,38713.79,744.04231,2023-12-02 00:59:59.999000072,28782981.749219,34866,378.883,14656193.6221576,0
2023-12-02 01:00:00,38713.8,38795.05,38697.37,38750.31,626.78904,2023-12-02 01:59:59.999000072,24290688.4678282,33145,297.36227,11524148.4683163,0
2023-12-02 02:00:00,38750.3,38769.28,38666.67,38720.7,489.28772,2023-12-02 02:59:59.999000072,18941799.4227733,26456,204.14153,7902703.257776,0
2023-12-02 03:00:00,38720.69,38782.28,38718.65,38782.27,376.30848,2023-12-02 03:59:59.999000072,14582167.2959574,23329,186.47654,7225772.7966502,0
2023-12-02 04:00:00,38782.27,38818.16,38722.0,38818.16,510.18444,2023-12-02 04:59:59.999000072,19780122.3889997,31188,274.52624,10643990.6619741,0
2023-12-02 05:00:00,38818.15,38821.59,38750.0,38750.01,520.05411,2023-12-02 05:59:59.999000072,20174379.866873,28379,189.49718,7351204.4444191,0
2023-12-02 06:00:00,38750.01,38786.7,38721.11,38774.95,441.94006,2023-12-02 06:59:59.999000072,17128356.8669165,28674,198.47246,7691599.6550245,0
2023-12-02 07:00:00,38774.95,38826.94,38702.47,38702.48,566.55535,2023-12-02 07:59:59.999000072,21959986.8142414,35457,252.91074,9802834.3419625,0
2023-12-02 08:00:00,38702.48,38738.93,38651.1,38713.19,706.97696,2023-12-02 08:59:59.999000072,27364170.5573412,31806,316.80391,12261916.4734497,0
2023-12-02 09:00:00,38713.2,38789.52,38708.46,38776.54,565.32203,2023-12-02 09:59:59.999000072,21909207.8798729,36353,240.3625,9314948.4631745,0
2023-12-02 10:00:00,38776.54,38789.52,38746.93,38747.46,421.79451,2023-12-02 10:59:59.999000072,16352082.8356888,28541,152.14124,5898061.2232704,0
2023-12-02 11:00:00,38747.46,38749.34,38704.0,38740.16,447.92673,2023-12-02 11:59:59.999000072,17348004.2468846,24793,191.73888,7425344.1395455,0
2023-12-02 12:00:00,38740.17,38796.19,38732.68,38779.7,555.4688,2023-12-02 12:59:59.999000072,21534345.3462597,29368,278.10189,10781352.6594258,0
2023-12-02 13:00:00,38779.7,38869.36,38765.29,38815.9,833.7229,2023-12-02 13:59:59.999000072,32352869.2186692,37193,494.70822,19198407.8988432,0
2023-12-02 14:00:00,38815.9,38850.5,38728.4,38782.0,901.21264,2023-12-02 14:59:59.999000072,34963539.5100659,41541,388.30597,15065461.6682154,0
2023-12-02 15:00:00,38782.0,38827.05,38708.64,38811.75,942.13993,2023-12-02 15:59:59.999000072,36520730.9109353,42122,448.84738,17399093.854258,0
2023-12-02 16:00:00,38811.76,38811.76,38703.44,38748.51,746.28905,2023-12-02 16:59:59.999000072,28922348.6959514,35106,324.72485,12583236.4960618,0
2023-12-02 17:00:00,38748.51,38795.1,38745.69,38795.09,491.29139,2023-12-02 17:59:59.999000072,19045251.2490566,26161,239.10614,9269066.1618001,0
2023-12-02 18:00:00,38795.09,38965.03,38775.0,38872.72,2074.04669,2023-12-02 18:59:59.999000072,80593997.3245357,70572,1074.3924,41750060.9805364,0
2023-12-02 20:00:00,39419.99,39592.72,39286.54,39574.61,2125.85403,2023-12-02 20:59:59.999000072,83786519.983827,57626,1081.64537,42637237.230546,0
2023-12-02 21:00:00,39574.61,39717.14,39420.0,39563.6,1990.58793,2023-12-02 21:59:59.999000072,78749771.9354219,56258,1016.38919,40212094.5448654,0
2023-12-02 22:00:00,39563.6,39608.27,39292.35,39349.01,1705.23931,2023-12-02 22:59:59.999000072,67233444.915915,46859,653.03255,25745422.6516538,0
2023-12-02 23:00:00,39349.02,39473.39,39330.0,39450.35,891.96334,2023-12-02 23:59:59.999000072,35157158.1092386,29928,427.74921,16858099.2229352,0
2023-12-03 00:00:00,39450.35,39522.03,39400.0,39503.16,822.08211,2023-12-03 00:59:59.999000072,32441141.9359281,32823,385.18662,15200922.0502898,0
2023-12-03 01:00:00,39503.16,39555.53,39476.0,39485.46,754.95604,2023-12-03 01:59:59.999000072,29829307.8487997,27015,321.12931,12688483.1706771,0
2023-12-03 02:00:00,39485.46,39545.1,39352.0,39364.16,906.51858,2023-12-03 02:59:59.999000072,35767758.1555226,32675,338.68981,13365503.510081,0
2023-12-03 03:00:00,39364.15,39385.0,39274.86,39381.11,799.65974,2023-12-03 03:59:59.999000072,31452552.2264434,33946,408.48766,16066485.8608267,0
2023-12-03 04:00:00,39381.12,39422.28,39344.86,39352.37,540.42702,2023-12-03 04:59:59.999000072,21284408.0024761,23736,244.45611,9628267.9417589,0
2023-12-03 05:00:00,39352.38,39440.0,39315.39,39422.78,498.85754,2023-12-03 05:59:59.999000072,19652067.4650639,27439,240.37116,9470441.2074099,0
2023-12-03 06:00:00,39422.78,39450.63,39369.23,39417.58,440.94012,2023-12-03 06:59:59.999000072,17378830.2905619,27417,183.39678,7228165.2612683,0
2023-12-03 07:00:00,39417.59,39490.0,39391.59,39478.72,649.83029,2023-12-03 07:59:59.999000072,25628751.0603607,29678,316.881,12498509.3448568,0
2023-12-03 08:00:00,39478.71,39485.84,39400.0,39400.01,460.29857,2023-12-03 08:59:59.999000072,18157436.5705217,26926,195.58459,7715252.7511357,0
2023-12-03 09:00:00,39400.01,39466.67,39400.0,39457.99,466.74518,2023-12-03 09:59:59.999000072,18407164.5472276,28032,231.86745,9143251.0478935,0
2023-12-03 10:00:00,39457.98,39544.0,39416.5,39541.0,507.71414,2023-12-03 10:59:59.999000072,20043071.069918,35745,277.46138,10953716.9667713,0
2023-12-03 11:00:00,39541.01,39541.01,39450.0,39479.7,661.47872,2023-12-03 11:59:59.999000072,26126717.8422085,38429,301.99458,11927728.1555239,0
2023-12-03 12:00:00,39479.69,39511.1,39381.34,39407.96,815.65673,2023-12-03 12:59:59.999000072,32179750.164129,39078,420.26561,16581547.048855,0
2023-12-03 13:00:00,39407.95,39771.87,39387.66,39671.36,1908.2997,2023-12-03 13:59:59.999000072,75597946.8454026,98279,1048.66376,41537092.8682864,0
2023-12-03 14:00:00,39671.37,39747.12,39544.07,39544.08,1460.12204,2023-12-03 14:59:59.999000072,57876970.3062655,80055,680.04576,26957090.833025,0
2023-12-03 15:00:00,39544.07,39805.93,39490.01,39760.42,1464.35113,2023-12-03 15:59:59.999000072,58074669.7423088,75525,747.1864,29638965.8127072,0
2023-12-03 16:00:00,39760.42,39841.1,39650.0,39666.67,1702.98104,2023-12-03 16:59:59.999000072,67652858.7624253,70001,840.9052,33406334.7990955,0
2023-12-03 17:00:00,39666.67,39675.0,39459.73,39526.7,1181.69198,2023-12-03 17:59:59.999000072,46739409.9276832,57740,522.42904,20662780.9907374,0
2023-12-03 18:00:00,39526.7,39585.27,39495.0,39543.28,548.32488,2023-12-03 18:59:59.999000072,21689222.2696903,34577,295.49609,11687687.5431781,0
2023-12-03 19:00:00,39543.28,39571.74,39430.01,39565.99,665.19745,2023-12-03 19:59:59.999000072,26285739.2762176,36169,280.0658,11066633.7419685,0
