Datetime,Open,High,Low,Close,Adj Close,Volume
2023-12-21 00:00:00,43648.125,43725.05078125,43537.41015625,43588.48828125,43588.48828125,198608896
2023-12-21 01:00:00,43590.87109375,43594.33984375,43367.80859375,43449.5703125,43449.5703125,7475200
2023-12-21 02:00:00,43454.6953125,43551.91796875,43330.05078125,43392.81640625,43392.81640625,433661952
2023-12-21 03:00:00,43393.18359375,43673.82421875,43392.98828125,43664.06640625,43664.06640625,133326848
2023-12-21 04:00:00,43658.4453125,43693.109375,43611.609375,43636.60546875,43636.60546875,0
2023-12-21 05:00:00,43638.3359375,43683.9765625,43467.82421875,43507.25,43507.25,0
2023-12-21 06:00:00,43508.96484375,43811.3046875,43481.23046875,43811.3046875,43811.3046875,0
2023-12-21 07:00:00,43795.1796875,43857.16796875,43731.59765625,43758.140625,43758.140625,162693120
2023-12-21 08:00:00,43769.44140625,43941.25,43694.921875,43696.91015625,43696.91015625,191922176
2023-12-21 09:00:00,43694.09375,43743.85546875,43616.1875,43728.8046875,43728.8046875,231067648
2023-12-21 10:00:00,43736.40234375,44016.70703125,43736.40234375,43948.078125,43948.078125,363862016
2023-12-21 11:00:00,43992.734375,44083.16015625,43882.16015625,43913.125,43913.125,96079872
2023-12-21 12:00:00,43967.99609375,44206.65234375,43961.8828125,44085.56640625,44085.56640625,489584640
2023-12-21 13:00:00,44087.58203125,44240.66796875,43976.2578125,44188.875,44188.875,0
2023-12-21 14:00:00,44166.80859375,44195.15625,43636.80859375,43636.80859375,43636.80859375,0
2023-12-21 15:00:00,43521.2421875,43882.640625,43419.87109375,43781.3046875,43781.3046875,0
2023-12-21 16:00:00,43808.07421875,43910.89453125,43551.39453125,43620.06640625,43620.06640625,0
2023-12-21 17:00:00,43630.5078125,43641.328125,43387.91796875,43441.9609375,43441.9609375,0
2023-12-21 18:00:00,43444.0234375,43614.9765625,43444.0234375,43566.9609375,43566.9609375,0
2023-12-21 19:00:00,43574.80078125,43818.3046875,43421.48828125,43560.08203125,43560.08203125,0
2023-12-21 20:00:00,43571.25390625,43770.87109375,43571.25390625,43763.85546875,43763.85546875,0
2023-12-21 21:00:00,43755.3828125,44116.49609375,43741.046875,44000.8125,44000.8125,0
2023-12-21 22:00:00,43986.4765625,44016.25390625,43915.6953125,43962.17578125,43962.17578125,0
2023-12-21 23:00:00,43950.2734375,43954.68359375,43810.41015625,43871.9609375,43871.9609375,0
2023-12-22 00:00:00,43874.7578125,43954.02734375,43793.12109375,43854.19140625,43854.19140625,0
2023-12-22 01:00:00,43847.3671875,44236.45703125,43847.3671875,44133.515625,44133.515625,404320256
2023-12-22 02:00:00,44133.8125,44155.6015625,43934.21875,43983.50390625,43983.50390625,0
2023-12-22 03:00:00,43983.8828125,44051.9140625,43918.47265625,44002.03515625,44002.03515625,0
2023-12-22 04:00:00,44015.6484375,44162.625,43970.80078125,44146.25,44146.25,51109888
2023-12-22 05:00:00,44141.4140625,44240.33203125,44124.8125,44132.95703125,44132.95703125,141189120
2023-12-22 06:00:00,44155.46484375,44367.95703125,43903.37890625,43910.6484375,43910.6484375,861755392
2023-12-22 07:00:00,43881.0390625,43957.4609375,43580.9921875,43580.9921875,43580.9921875,719810560
2023-12-22 08:00:00,43660.40234375,43803.86328125,43627.6171875,43627.8671875,43627.8671875,61116416
